epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2272.12,0.64758,0.41048,1.03194,0.93115,0.99044,0.98241,0.8616,0.54448,0.31379,0.97347,0.000742625,0.000742625,0.000742625
43,2325.56,0.64274,0.40025,1.02507,0.95259,0.97431,0.98569,0.86946,0.51174,0.30148,0.95735,0.00073025,0.00073025,0.00073025
44,2379.07,0.63817,0.39208,1.02506,0.93918,0.99098,0.9811,0.86747,0.51469,0.29283,0.95424,0.000717875,0.000717875,0.000717875
45,2432.56,0.64047,0.40028,1.0288,0.93832,0.99223,0.98041,0.86385,0.52609,0.31015,0.96437,0.0007055,0.0007055,0.0007055
46,2485.96,0.6396,0.39103,1.02246,0.95147,0.97481,0.98083,0.86416,0.5143,0.30202,0.95965,0.000693125,0.000693125,0.000693125
47,2539.39,0.63689,0.39256,1.02463,0.94537,0.98834,0.98348,0.86627,0.51871,0.29532,0.96447,0.00068075,0.00068075,0.00068075
48,2592.85,0.62994,0.38583,1.01655,0.93721,0.9937,0.98288,0.86706,0.50962,0.30722,0.95458,0.000668375,0.000668375,0.000668375
49,2646.28,0.63869,0.38768,1.02437,0.94674,0.97991,0.98202,0.86728,0.51639,0.29533,0.95906,0.000656,0.000656,0.000656
50,2699.77,0.63135,0.38151,1.02034,0.9424,0.99312,0.98595,0.86871,0.52146,0.2933,0.96691,0.000643625,0.000643625,0.000643625
51,2753.41,0.62856,0.38488,1.0196,0.94515,0.98293,0.98398,0.8779,0.4944,0.28815,0.94895,0.00063125,0.00063125,0.00063125
52,2807.64,0.63132,0.38975,1.01862,0.94317,0.98982,0.9846,0.8703,0.51203,0.29766,0.95644,0.000618875,0.000618875,0.000618875
53,2861.13,0.63279,0.38517,1.02542,0.94528,0.98504,0.98309,0.86424,0.52221,0.29272,0.96427,0.0006065,0.0006065,0.0006065
54,2914.51,0.61885,0.3725,1.01281,0.95345,0.98177,0.98255,0.87351,0.48972,0.28404,0.94313,0.000594125,0.000594125,0.000594125
55,2968.03,0.62464,0.37626,1.01505,0.94437,0.9834,0.98405,0.87934,0.48625,0.29384,0.94437,0.00058175,0.00058175,0.00058175
56,3021.88,0.62051,0.3713,1.01489,0.94333,0.98728,0.98457,0.86717,0.51096,0.29252,0.95893,0.000569375,0.000569375,0.000569375
57,3075.19,0.6172,0.37122,1.00973,0.94583,0.98586,0.98292,0.87596,0.48955,0.28336,0.9462,0.000557,0.000557,0.000557
58,3128.69,0.62288,0.36721,1.01312,0.95231,0.9808,0.98263,0.87646,0.48164,0.28707,0.93977,0.000544625,0.000544625,0.000544625
59,3182.04,0.62096,0.3706,1.01561,0.94985,0.99096,0.98305,0.87482,0.49276,0.27664,0.9496,0.00053225,0.00053225,0.00053225
60,3235.57,0.61444,0.35939,1.00906,0.94047,0.98989,0.98579,0.87709,0.50203,0.2732,0.94603,0.000519875,0.000519875,0.000519875
61,3289.09,0.61241,0.35635,1.00901,0.95447,0.9884,0.98384,0.87616,0.49211,0.27262,0.94725,0.0005075,0.0005075,0.0005075
62,3342.88,0.61868,0.36152,1.01434,0.94942,0.98746,0.98569,0.87756,0.49311,0.26806,0.94605,0.000495125,0.000495125,0.000495125
63,3396.3,0.61145,0.36005,1.01447,0.95476,0.97874,0.98512,0.87315,0.50235,0.28031,0.94851,0.00048275,0.00048275,0.00048275
64,3449.86,0.61682,0.36078,1.01432,0.94845,0.9804,0.98343,0.87432,0.49349,0.27615,0.94632,0.000470375,0.000470375,0.000470375
